caseid,window_index,window_start_s,window_end_s,anomaly_rank,anomaly_score,iforest_decision_function,anomaly_label
4,47,14100.0,14400.0,84,-0.153307,0.153307,0
2,47,14100.0,14400.0,85,-0.153833,0.153833,0
4,52,15600.0,15900.0,86,-0.154291,0.154291,0
4,50,15000.0,15300.0,87,-0.154723,0.154723,0
2,4,1200.0,1500.0,88,-0.155185,0.155185,0
4,46,13800.0,14100.0,89,-0.155329,0.155329,0
2,25,7500.0,7800.0,90,-0.155774,0.155774,0
4,58,17400.0,17700.0,91,-0.157978,0.157978,0
2,26,7800.0,8100.0,92,-0.158182,0.158182,0
4,38,11400.0,11700.0,93,-0.159776,0.159776,0
4,57,17100.0,17400.0,94,-0.160553,0.160553,0
4,55,16500.0,16800.0,95,-0.160911,0.160911,0
2,22,6600.0,6900.0,96,-0.162386,0.162386,0
2,17,5100.0,5400.0,97,-0.164498,0.164498,0
2,5,1500.0,1800.0,98,-0.165045,0.165045,0
2,11,3300.0,3600.0,99,-0.165629,0.165629,0
4,56,16800.0,17100.0,100,-0.167945,0.167945,0
4,29,8700.0,9000.0,101,-0.168996,0.168996,0
4,26,7800.0,8100.0,102,-0.169621,0.169621,0
2,24,7200.0,7500.0,103,-0.172455,0.172455,0
2,20,6000.0,6300.0,104,-0.172808,0.172808,0
4,45,13500.0,13800.0,105,-0.173029,0.173029,0
4,48,14400.0,14700.0,106,-0.173558,0.173558,0
4,49,14700.0,15000.0,107,-0.174537,0.174537,0
2,27,8100.0,8400.0,108,-0.175228,0.175228,0
2,21,6300.0,6600.0,109,-0.175796,0.175796,0
4,42,12600.0,12900.0,110,-0.175904,0.175904,0
2,23,6900.0,7200.0,111,-0.176199,0.176199,0
2,19,5700.0,6000.0,112,-0.177143,0.177143,0
2,29,8700.0,9000.0,113,-0.178337,0.178337,0
2,35,10500.0,10800.0,114,-0.178911,0.178911,0
2,36,10800.0,11100.0,115,-0.181144,0.181144,0
2,30,9000.0,9300.0,116,-0.181931,0.181931,0
2,44,13200.0,13500.0,117,-0.18225,0.18225,0
4,27,8100.0,8400.0,118,-0.183268,0.183268,0
4,31,9300.0,9600.0,119,-0.183342,0.183342,0
4,43,12900.0,13200.0,120,-0.183428,0.183428,0
2,37,11100.0,11400.0,121,-0.183561,0.183561,0
2,28,8400.0,8700.0,122,-0.183752,0.183752,0
2,40,12000.0,12300.0,123,-0.184747,0.184747,0
4,44,13200.0,13500.0,124,-0.185475,0.185475,0
4,30,9000.0,9300.0,125,-0.186502,0.186502,0
2,32,9600.0,9900.0,126,-0.186591,0.186591,0
2,43,12900.0,13200.0,127,-0.188826,0.188826,0
2,42,12600.0,12900.0,128,-0.18945,0.18945,0
2,33,9900.0,10200.0,129,-0.189906,0.189906,0
2,31,9300.0,9600.0,130,-0.190268,0.190268,0
2,38,11400.0,11700.0,131,-0.191183,0.191183,0
2,45,13500.0,13800.0,132,-0.19165,0.19165,0
2,39,11700.0,12000.0,133,-0.191665,0.191665,0
2,34,10200.0,10500.0,134,-0.192687,0.192687,0
2,41,12300.0,12600.0,135,-0.194051,0.194051,0
